Date,Risk-On_Probability,Late-Cycle_Probability,Transitional_Probability,Risk-Off_Probability,Post-Shock_Probability,Dominant_Regime,Confidence,Entropy,Uncertainty,Conformal_90_Set,CalibratedProxy_Risk-On_Probability,CalibratedProxy_Late-Cycle_Probability,CalibratedProxy_Transitional_Probability,CalibratedProxy_Risk-Off_Probability,CalibratedProxy_Post-Shock_Probability,CalibratedProxy_Dominant_Regime,CalibratedProxy_Confidence,CalibratedProxy_Entropy,CalibratedProxy_90_Set
2020-06-12,5.838376009109597e-121,1.1065012389010522e-107,5.6135762613050695e-217,1.0,4.299903537549312e-213,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-15,1.0566099697922184e-123,8.825497134380358e-117,6.3377914466379095e-232,1.0,7.901498907514689e-227,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-16,6.949575535435279e-122,3.4402292003086676e-124,5.975726439906712e-240,1.0,3.1587638525834436e-237,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-17,6.361781371189862e-128,2.498064408318581e-140,2.643751133060841e-258,1.0,6.367904445489474e-254,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-18,1.1913399537507026e-126,3.0761061033166363e-142,2.9237108493054832e-258,1.0,1.0107228212550498e-254,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-19,2.299851123351369e-121,1.592917496626641e-118,6.894714517472776e-233,1.0,2.411187669970217e-230,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-22,4.546933885638296e-131,8.025304476602583e-109,1.9747625318235188e-223,1.0,8.27658532097354e-219,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-23,5.763768020898612e-117,1.5505416598505786e-119,2.78433033493486e-233,1.0,2.755997505958723e-234,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-24,2.5126992788406378e-110,3.7493882947890194e-117,3.444306493859164e-231,1.0,7.605898382274349e-234,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
2020-06-25,3.691805616327455e-110,3.204169752418764e-109,2.5520798163837563e-219,1.0,2.9349179155084704e-219,Risk-Off,1.0,-1.000088900581841e-12,-6.213901715968123e-13,{Risk-Off},2.1544328333979508e-07,2.1544328333979508e-07,2.1544328333979508e-07,0.9999991382268666,2.1544328333979508e-07,Risk-Off,0.9999991382268666,1.4090474974204833e-05,{Risk-Off}
